ProjectID,Entity Type,ID,Name,Description,Start Date,Planned Start Date,End Date,Planned End Date,Time Spent,Time Remain,Create Date,Modify Date,Last Comment Date,Effort,Effort Completed,Effort To Do,Role Efforts,Progress,Initial Estimate,Project,Feature,Release,Sprint,Team Sprint,Team,Last Commented User,Tags,Numeric Priority,Owner,Linked Test Plan,Priority,Entity State,Assignments
191,UserStory,249,Support for different browsers,"As a user, I want to be able to use this service on different browsers, as to allow me to use this service on any computer without installing a certain browser.
Acceptance Criteria: -Should be able to access the webpage and use all of its features from at least 2 browsers.
-All of its features must work from the supported web pages.
","","","","",0.0000,0.0000,8/20/2015 7:27:00 AM,10/20/2015 11:43:03 PM,"",3.0000,0.0000,3.0000,(Developer) 3.0000,0.0000,0.0000,Media vault,"","","","",lennyfaceteam,"","",103,Matthew Matthew,"",Average,Open,""
191,UserStory,239,Photo viewer,"As user, I want to be able to view photos I have stored online, as to have a convenient way to view my photos from any of my computers.
Acceptance Criteria:
-Assuming at least 2 images are on display.
-When the first photo is selected the photo should expand, and have a frame around it on the webpage. Image should have arrows on each side.
-When the user clicks on the right arrow to go to the next image, the next image is displayed which is chronologically after.
-When the user clicks on the left arrow to go to the previous image, the previous image is displayed.
",9/16/2015 9:22:29 PM,"",9/16/2015 9:22:29 PM,"",8.0000,0.0000,8/20/2015 3:21:48 AM,9/16/2015 9:22:30 PM,"",8.0000,8.0000,0.0000,(Developer) 8.0000,1.0000,0.0000,Media vault,"",Release 1,Sprint 2,"",lennyfaceteam,"","",102.5,Jack Ma,Photo viewer Test Plan,Must Have,Done,"(Developer) Jacob Keogh, (Developer) Jack Ma"
191,UserStory,233,Read ebook from mobile,"As a reader, I want to be able to read my ebooks on my mobile, as to conveniently read books out on the go.
​Acceptance Criteria: -Must be able able to select ebook from the website stored in the database. This ebook opens when selected and you should be able to read it.
","","","","",0.0000,0.0000,8/16/2015 10:08:14 AM,10/20/2015 11:44:03 PM,"",5.0000,0.0000,5.0000,(Developer) 5.0000,0.0000,0.0000,Media vault,"",Release 3,"","",lennyfaceteam,"","",100.5,Matthew Matthew,"",Nice To Have,Open,""
191,UserStory,232,Download media files on mobile,"As a user, I want to be able to download media on my phone, as to conveniently move my media files onto my device.
Acceptance Criteria: -Must be able to select a media file from browser on mobile, and the option should be given to download the media file. After it is downloaded, the media should be usable.
","","","","",0.0000,0.0000,8/16/2015 7:38:44 AM,10/20/2015 11:43:14 PM,"",3.0000,0.0000,3.0000,(Developer) 3.0000,0.0000,0.0000,Media vault,"",Release 3,"","",lennyfaceteam,"","",100,Matthew Matthew,"",Nice To Have,Open,""
191,UserStory,231,Upload media files to the cloud from mobile,"As a user, I want to be able to upload media files from my mobile to the cloud, as to have a means of conveniently uploading my media files from my mobile.
Acceptance criteria: -On the website, you should be able to select 'upload', where you can specify the media to upload from the phone.
-Files should function after upload.
","","","","",0.0000,0.0000,8/16/2015 7:38:10 AM,10/20/2015 11:43:22 PM,"",5.0000,0.0000,5.0000,(Developer) 5.0000,0.0000,0.0000,Media vault,"",Release 3,"","",lennyfaceteam,"","",99.5,Matthew Matthew,"",Nice To Have,Open,""
191,UserStory,230,View photos from mobile,"As a user, I want to be able to view photos from my mobile, as to have a way of conveniently view my stored photos from my device.
Acceptance Criteria: -Should
","","","","",0.0000,0.0000,8/16/2015 7:37:00 AM,10/20/2015 11:44:05 PM,"",5.0000,0.0000,5.0000,(Developer) 5.0000,0.0000,0.0000,Media vault,"",Release 3,"","",lennyfaceteam,"","",99,Matthew Matthew,"",Nice To Have,Open,""
191,UserStory,229,Listen to audio from mobile,"As a user, I want to be able to stream music from the cloud to my mobile, as to have a way of conveniently listening to music in my storage space online.
Acceptance Criteria: -There should be an option to stream an audio file when selecting the file. This audio should steam from the cloud to the mobile, and the audio should play.
-Audio should function properly.
","","","","",0.0000,0.0000,8/16/2015 7:36:29 AM,10/20/2015 11:43:49 PM,"",5.0000,0.0000,5.0000,(Developer) 5.0000,0.0000,0.0000,Media vault,"",Release 3,"","",lennyfaceteam,"","",98.5,Matthew Matthew,"",Nice To Have,Open,""
191,UserStory,228,View videos from mobile,"As a user, I want to be able to view videos from my mobile, as a way to conveniently view videos that I have stored online on my mobile.
Acceptance Criteria: -There should be an option on the website to steam a video when selecting it from the media list. After it's selected the video file should stream from the cloud to the mobile.
-Video must be functional.
","","","","",0.0000,0.0000,8/16/2015 7:36:22 AM,10/20/2015 11:43:42 PM,"",5.0000,0.0000,5.0000,(Developer) 5.0000,0.0000,0.0000,Media vault,"",Release 3,"","",lennyfaceteam,"","",98,Matthew Matthew,"",Nice To Have,Open,""
191,UserStory,227,Download media from cloud,"As someone who is an avid media consumer I want to be able to easily download media items from the cloud onto any of my other computers, so that I can easily transfer my media files to different computers.
Acceptance criteria: -When clicking to view a file that I want to download from the website, I should be able to right click on the file and press 'save as' while it is opened , and this file is downloaded from the cloud to the computer.
",9/3/2015 1:56:10 AM,"",9/3/2015 1:56:10 AM,"",14.0000,0.0000,8/16/2015 7:17:21 AM,9/17/2015 12:53:50 AM,"",8.0000,8.0000,0.0000,(Developer) 8.0000,1.0000,0.0000,Media vault,"",Release 1,Sprint 1,"",lennyfaceteam,"","",97.5,Matthew Matthew,Download media from cloud Test Plan,Must Have,Done,(Developer) Matthew Matthew
191,UserStory,226,Upload media to cloud,"As an avid media user I want to be able to upload my media to the cloud, so that I have a place to store my media files online.
Acceptance Criteria: -I want to upload a video, audio, or ebook file from my computer to the cloud. This should happen by selecting 'upload' while logged into an account, and then selecting the file for upload.
-I put in a name, author and etc into the fields.
-I click upload and the media is uploaded.
-Uploaded media must have the correct details submitted.
-Should not be able to upload non media, such as .exe files, and each category must accept only their type (such as .pdf or .mp3).
",9/3/2015 2:02:49 AM,"",9/3/2015 2:02:49 AM,"",7.0000,0.0000,8/16/2015 7:12:09 AM,10/22/2015 10:03:24 AM,"",8.0000,8.0000,0.0000,(Developer) 8.0000,1.0000,0.0000,Media vault,"",Release 1,Sprint 1,"",lennyfaceteam,"","",97,Matthew Matthew,Upload media to cloud Test Plan,Must Have,Done,(Developer) Adnan Osmanovic
